Country,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
France,16651.0,17969.0,17821.0,18838.0,22615.0,22160.0,23293.0,24216.0,24794.0,25690.0,26384.0,27146.0,28319.0,29013.0,30078.0,31291.0,31927.0,32960.0,34659.0,36803.0,38078.0,40934.0,43201.0,45108.0,47000.0,48927.0,49669.0,49935,49377.0,49957.0,51054.0,52120.0,54475.0,56595.0,57754.0,62420.0,64202.0,65400.0,67707.0,69975.0,73055.0,73009.0,75029.0,77240.0,75965.0
French-Guiana,0.01,2.0,0.01,2.0,4.0,7.0,1.0,4.0,11.0,11.0,7.0,13.0,10.0,9.0,15.0,9.0,11.0,9.0,14.0,19.0,25.0,16.0,23.0,23.0,27.0,23.0,26.0,29,37.0,39.0,43.0,50.0,43.0,41.0,35.0,38.0,53.0,62.0,61.0,80.0,78.0,79.0,90.0,120.0,91.0
French-Polynesia,6.0,5.0,4.0,14.0,13.0,7.0,16.0,17.0,8.0,8.0,7.0,18.0,13.0,15.0,27.0,17.0,26.0,19.0,30.0,31.0,46.0,42.0,44.0,40.0,49.0,42.0,36.0,46,34.0,38.0,36.0,43.0,40.0,52.0,42.0,53.0,72.0,70.0,71.0,107.0,80.0,91.0,131.0,141.0,36.0
Gabon,3.0,4.0,3.0,5.0,6.0,8.0,6.0,12.0,7.0,15.0,15.0,24.0,24.0,21.0,33.0,36.0,30.0,32.0,43.0,41.0,27.0,43.0,43.0,36.0,47.0,61.0,59.0,46,58.0,58.0,60.0,57.0,69.0,78.0,77.0,85.0,88.0,86.0,119.0,103.0,118.0,149.0,152.0,141.0,153.0
Gambia,5.0,5.0,8.0,6.0,14.0,8.0,10.0,15.0,20.0,9.0,1.0,9.0,4.0,4.0,0.01,0.01,0.01,1.0,0.01,1.0,2.0,52.0,52.0,58.0,73.0,45.0,53.0,55,69.0,66.0,68.0,70.0,68.0,92.0,72.0,93.0,90.0,98.0,78.0,106.0,118.0,136.0,138.0,143.0,168.0
Georgia,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,6.0,13.0,34.0,73.0,228.0,196.0,204.0,214.0,230.0,212.0,255.0,252,233.0,284.0,242.0,299.0,307.0,369.0,329.0,351.0,375.0,399.0,504.0,609.0,549.0,575.0,627.0,673.0,671.0
Germany,20404.0,24749.0,23563.0,25351.0,32440.0,34337.0,34110.0,34426.0,36396.0,38236.0,39462.0,39808.0,41155.0,41512.0,42863.0,43479.0,44901.0,46871.0,47244.0,47220.0,49528.0,52132.0,55276.0,59410.0,63191.0,66460.0,67956.0,68651,68806.0,69540.0,70401.0,73100.0,76496.0,78612.0,80743.0,84144.0,87759.0,91194.0,95967.0,100914.0,104856.0,105554.0,108392.0,111973.0,111966.0
Ghana ,88.0,107.0,85.0,93.0,86.0,79.0,75.0,91.0,80.0,76.0,56.0,59.0,74.0,52.0,53.0,59.0,67.0,77.0,88.0,113.0,97.0,119.0,117.0,133.0,148.0,137.0,165.0,177,167.0,178.0,186.0,198.0,222.0,243.0,303.0,355.0,386.0,495.0,505.0,596.0,698.0,793.0,1000.0,1215.0,1244.0
Greece,351.0,446.0,466.0,507.0,663.0,665.0,726.0,884.0,998.0,1172.0,1229.0,1265.0,1397.0,1603.0,1727.0,1842.0,2103.0,1975.0,2426.0,2589.0,2835.0,3106.0,3384.0,3796.0,4046.0,4401.0,4500.0,5056,5469.0,5948.0,6355.0,7235.0,7855.0,9020.0,9628.0,10179.0,10566.0,10655.0,10858.0,11204.0,11057.0,10880.0,10794.0,11042.0,10783.0
Grenada,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2,1.0,2.0,7.0,6.0,7.0,18.0,33.0,37.0,44.0,58.0,63.0,87.0,89.0,126.0,101.0,93.0,149.0
Guadeloupe,5.0,11.0,11.0,11.0,15.0,20.0,23.0,14.0,9.0,18.0,32.0,21.0,20.0,25.0,33.0,19.0,22.0,25.0,23.0,22.0,43.0,49.0,51.0,65.0,55.0,50.0,57.0,60,53.0,56.0,66.0,85.0,73.0,89.0,95.0,108.0,130.0,128.0,95.0,123.0,144.0,170.0,158.0,183.0,146.0
Guatemala,27.0,37.0,51.0,40.0,42.0,32.0,53.0,46.0,69.0,67.0,52.0,36.0,48.0,33.0,55.0,43.0,59.0,46.0,66.0,59.0,55.0,41.0,42.0,40.0,47.0,45.0,50.0,36,50.0,54.0,46.0,58.0,65.0,61.0,71.0,69.0,97.0,104.0,102.0,140.0,141.0,131.0,195.0,185.0,184.0
Guinea,2.0,0.01,0.01,0.01,5.0,1.0,0.01,2.0,1.0,0.01,1.0,1.0,1.0,5.0,7.0,14.0,9.0,6.0,5.0,8.0,6.0,5.0,6.0,6.0,9.0,8.0,7.0,5,21.0,13.0,11.0,12.0,13.0,30.0,21.0,16.0,24.0,30.0,24.0,32.0,38.0,53.0,78.0,95.0,105.0
Guinea-Bissau,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,1.0,0.01,6.0,6.0,6.0,5.0,10.0,11.0,7.0,11.0,13.0,8.0,19.0,11,11.0,22.0,20.0,20.0,19.0,17.0,27.0,20.0,19.0,20.0,27.0,31.0,33.0,42.0,36.0,48.0,48.0
Guyana,11.0,8.0,6.0,6.0,10.0,10.0,11.0,4.0,15.0,6.0,17.0,11.0,11.0,12.0,10.0,9.0,5.0,7.0,14.0,11.0,13.0,4.0,13.0,8.0,12.0,10.0,12.0,11,13.0,14.0,7.0,9.0,20.0,12.0,25.0,19.0,12.0,26.0,21.0,22.0,22.0,28.0,28.0,33.0,29.0
Haiti,1.0,3.0,7.0,3.0,3.0,2.0,1.0,3.0,5.0,7.0,12.0,10.0,6.0,12.0,6.0,9.0,10.0,10.0,17.0,8.0,12.0,7.0,6.0,5.0,4.0,10.0,3.0,11,8.0,13.0,13.0,12.0,16.0,26.0,18.0,22.0,23.0,29.0,52.0,47.0,59.0,78.0,93.0,89.0,96.0
Honduras ,9.0,14.0,5.0,8.0,12.0,10.0,8.0,13.0,10.0,8.0,19.0,9.0,7.0,8.0,2.0,7.0,14.0,13.0,17.0,9.0,15.0,20.0,13.0,17.0,23.0,27.0,25.0,22,20.0,25.0,26.0,27.0,27.0,32.0,25.0,30.0,36.0,45.0,50.0,60.0,60.0,46.0,74.0,59.0,87.0
Hong-Kong,136.0,180.0,205.0,236.0,319.0,303.0,338.0,358.0,385.0,463.0,476.0,610.0,668.0,762.0,876.0,853.0,1042.0,1103.0,1118.0,1298.0,1548.0,1859.0,2470.0,3213.0,3918.0,3488.0,3339.0,405,63.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Hungary,1906.0,2146.0,1944.0,2123.0,2445.0,2613.0,2751.0,2810.0,2889.0,2924.0,2911.0,3059.0,2917.0,3030.0,2960.0,2951.0,2948.0,2878.0,2948.0,2983.0,3029.0,3061.0,3206.0,3346.0,3642.0,3920.0,3986.0,4255,4286.0,4331.0,4628.0,4545.0,4967.0,5145.0,5244.0,5819.0,5636.0,5387.0,5985.0,6407.0,6670.0,7023.0,7157.0,7432.0,7270.0
Iceland,21.0,24.0,30.0,29.0,43.0,46.0,45.0,65.0,51.0,89.0,69.0,63.0,90.0,89.0,98.0,102.0,116.0,152.0,170.0,187.0,199.0,220.0,262.0,248.0,265.0,317.0,289.0,295,358.0,378.0,399.0,430.0,446.0,496.0,531.0,638.0,696.0,849.0,826.0,958.0,1016.0,998.0,1085.0,1237.0,1151.0
India,7732.0,7940.0,8249.0,9518.0,11696.0,12598.0,13380.0,13811.0,14037.0,13830.0,13853.0,13815.0,13085.0,13696.0,14064.0,14233.0,14558.0,14380.0,14892.0,14880.0,15041.0,15423.0,15322.0,15876.0,15919.0,16553.0,16964.0,17074,18087.0,19338.0,21255.0,22903.0,25181.0,28228.0,33054.0,37762.0,39617.0,42908.0,47069.0,50031.0,54615.0,59377.0,61613.0,65398.0,67089.0
Indonesia,34.0,35.0,39.0,41.0,55.0,82.0,80.0,82.0,95.0,99.0,123.0,133.0,140.0,114.0,126.0,144.0,190.0,169.0,192.0,165.0,222.0,266.0,290.0,328.0,374.0,349.0,395.0,463,494.0,471.0,470.0,525.0,585.0,660.0,663.0,741.0,940.0,1061.0,1206.0,1416.0,1646.0,1771.0,1979.0,2339.0,2567.0
Iran,212.0,251.0,307.0,392.0,480.0,573.0,444.0,313.0,245.0,146.0,131.0,121.0,106.0,143.0,142.0,143.0,140.0,158.0,208.0,232.0,305.0,362.0,460.0,555.0,675.0,872.0,1074.0,1329,1600.0,2150.0,2938.0,3599.0,4751.0,6217.0,9109.0,11437.0,14704.0,17315.0,22042.0,24888.0,26315.0,27950.0,29789.0,33506.0,35982.0
Iraq,55.0,73.0,62.0,109.0,155.0,201.0,206.0,221.0,219.0,194.0,201.0,186.0,271.0,285.0,255.0,327.0,323.0,254.0,148.0,126.0,120.0,120.0,90.0,73.0,67.0,60.0,53.0,55,73.0,65.0,81.0,56.0,89.0,128.0,180.0,202.0,262.0,283.0,362.0,517.0,827.0,962.0,1038.0,1260.0,1600.0
Ireland,591.0,552.0,700.0,655.0,762.0,809.0,824.0,935.0,951.0,1057.0,1142.0,1145.0,1096.0,1215.0,1321.0,1256.0,1323.0,1342.0,1485.0,1524.0,1678.0,1851.0,2011.0,2203.0,2367.0,2556.0,2571.0,2744,2805.0,2974.0,3152.0,3712.0,4180.0,4637.0,4973.0,5689.0,6162.0,6903.0,7420.0,7532.0,7948.0,7986.0,8098.0,8760.0,8856.0
Israel,3175.0,3571.0,3680.0,3930.0,4660.0,4800.0,4589.0,4924.0,5300.0,5721.0,5968.0,6161.0,6364.0,6556.0,6614.0,6787.0,6810.0,6804.0,6968.0,7307.0,8022.0,8143.0,8645.0,8812.0,9257.0,9325.0,9404.0,9916,9844.0,10307.0,10717.0,10828.0,10850.0,11464.0,11528.0,11982.0,11941.0,12134.0,12541.0,12985.0,13346.0,13861.0,14430.0,15203.0,14800.0
Italy,5499.0,6745.0,6247.0,6423.0,8014.0,8404.0,8720.0,9438.0,10169.0,11028.0,12400.0,12942.0,13346.0,13501.0,14238.0,15825.0,16890.0,17646.0,19245.0,21007.0,22125.0,24159.0,26117.0,28075.0,29167.0,30324.0,30985.0,32196,33479.0,34639.0,37710.0,39446.0,41065.0,43515.0,46171.0,49035.0,51594.0,52994.0,55685.0,59137.0,64077.0,65512.0,67542.0,70263.0,69772.0
Ivory Coast,38.0,49.0,50.0,62.0,91.0,113.0,98.0,135.0,127.0,124.0,95.0,105.0,82.0,84.0,122.0,84.0,78.0,93.0,90.0,86.0,89.0,121.0,101.0,84.0,127.0,159.0,126.0,139,121.0,115.0,151.0,125.0,114.0,132.0,160.0,189.0,206.0,210.0,224.0,260.0,220.0,250.0,264.0,282.0,277.0
Jamaica,90.0,95.0,69.0,94.0,129.0,142.0,135.0,134.0,157.0,132.0,119.0,147.0,136.0,117.0,140.0,135.0,124.0,122.0,121.0,124.0,128.0,166.0,149.0,136.0,118.0,115.0,134.0,117,154.0,151.0,134.0,159.0,144.0,134.0,156.0,177.0,185.0,200.0,220.0,205.0,197.0,204.0,172.0,199.0,161.0
Japan,14539.0,15315.0,16086.0,17377.0,20410.0,22318.0,22699.0,26844.0,28570.0,29473.0,31225.0,32688.0,34930.0,36483.0,39250.0,40731.0,43408.0,45259.0,49066.0,51312.0,54085.0,57967.0,59996.0,64022.0,65989.0,69631.0,71705.0,73841,73366.0,74830.0,77110.0,77496.0,77478.0,77844.0,76724.0,77233.0,76762.0,75671.0,77751.0,78536.0,80283.0,78738.0,77764.0,79600.0,79428.0
Jordan,13.0,20.0,12.0,12.0,30.0,42.0,56.0,45.0,57.0,69.0,88.0,117.0,125.0,172.0,213.0,244.0,247.0,246.0,228.0,213.0,199.0,251.0,296.0,296.0,367.0,432.0,464.0,491,479.0,537.0,565.0,630.0,658.0,694.0,850.0,1018.0,1065.0,1102.0,1083.0,1137.0,1250.0,1309.0,1358.0,1528.0,1671.0
Kazakhstan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.0,7.0,32.0,44.0,161.0,270.0,240.0,231.0,205.0,173.0,197.0,173.0,192,196.0,217.0,250.0,235.0,203.0,214.0,259.0,231.0,277.0,258.0,292.0,435.0,563.0,703.0,822.0,916.0,1081.0
Kenya,161.0,198.0,221.0,197.0,252.0,262.0,277.0,297.0,369.0,364.0,369.0,380.0,361.0,358.0,419.0,405.0,432.0,433.0,461.0,523.0,542.0,515.0,524.0,540.0,506.0,504.0,514.0,504,528.0,581.0,614.0,585.0,599.0,717.0,817.0,916.0,975.0,1132.0,1306.0,1338.0,1432.0,1676.0,1733.0,1912.0,1932.0
Kuwait,30.0,35.0,22.0,66.0,80.0,95.0,125.0,116.0,144.0,179.0,200.0,230.0,300.0,328.0,384.0,425.0,517.0,463.0,286.0,174.0,188.0,291.0,388.0,438.0,484.0,540.0,586.0,491,506.0,494.0,484.0,535.0,550.0,579.0,596.0,696.0,674.0,666.0,669.0,628.0,731.0,721.0,724.0,850.0,895.0
Kyrgyzstan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0,4.0,3.0,12.0,42.0,35.0,25.0,28.0,22.0,34.0,34.0,39,51.0,40.0,27.0,34.0,49.0,49.0,52.0,60.0,57.0,61.0,70.0,76.0,104.0,86.0,99.0,131.0,150.0
Laos,0.01,0.01,0.01,1.0,0.01,1.0,2.0,0.01,0.01,0.01,0.01,0.01,2.0,0.01,0.01,0.01,0.01,0.01,2.0,7.0,1.0,0.01,4.0,2.0,6.0,7.0,6.0,9,14.0,17.0,26.0,34.0,36.0,51.0,46.0,59.0,61.0,98.0,126.0,152.0,148.0,145.0,179.0,185.0,161.0
Latvia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.0,43.0,62.0,124.0,279.0,271.0,300.0,282.0,333.0,353.0,376.0,331,344.0,360.0,321.0,344.0,332.0,311.0,382.0,459.0,448.0,441.0,613.0,609.0,648.0,672.0,742.0,818.0,812.0
Lebanon ,151.0,215.0,126.0,119.0,119.0,99.0,93.0,93.0,128.0,110.0,111.0,110.0,151.0,124.0,93.0,88.0,71.0,57.0,72.0,74.0,89.0,107.0,113.0,121.0,199.0,209.0,254.0,288,360.0,345.0,388.0,432.0,502.0,578.0,579.0,670.0,702.0,773.0,786.0,937.0,1082.0,1211.0,1283.0,1563.0,1661.0
Lesotho,4.0,3.0,5.0,8.0,6.0,4.0,4.0,4.0,6.0,9.0,7.0,11.0,14.0,9.0,11.0,8.0,9.0,9.0,14.0,6.0,14.0,11.0,5.0,5.0,7.0,2.0,8.0,9,6.0,7.0,6.0,5.0,6.0,17.0,14.0,19.0,26.0,22.0,23.0,26.0,23.0,26.0,28.0,29.0,31.0
Liberia ,7.0,1.0,6.0,2.0,5.0,5.0,6.0,12.0,10.0,3.0,19.0,23.0,24.0,9.0,7.0,11.0,8.0,14.0,19.0,10.0,3.0,4.0,1.0,4.0,1.0,2.0,0.01,1,3.0,5.0,1.0,4.0,4.0,5.0,0.01,7.0,1.0,8.0,12.0,13.0,15.0,21.0,48.0,52.0,54.0
Libya,13.0,12.0,22.0,23.0,33.0,44.0,52.0,61.0,59.0,60.0,61.0,62.0,75.0,61.0,71.0,70.0,64.0,56.0,62.0,52.0,49.0,46.0,52.0,39.0,38.0,57.0,44.0,41,49.0,42.0,67.0,59.0,69.0,92.0,98.0,126.0,127.0,160.0,122.0,161.0,183.0,203.0,210.0,217.0,229.0
Liechtenstein,3.0,9.0,5.0,7.0,5.0,3.0,6.0,4.0,14.0,9.0,16.0,12.0,9.0,9.0,9.0,13.0,14.0,13.0,9.0,16.0,16.0,15.0,25.0,15.0,20.0,10.0,23.0,27,14.0,13.0,26.0,26.0,31.0,35.0,36.0,44.0,40.0,55.0,47.0,65.0,64.0,78.0,69.0,94.0,98.0
Lithuania,0.01,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,2.0,12.0,14.0,60.0,225.0,286.0,314.0,326.0,368.0,425.0,488.0,477,521.0,630.0,680.0,852.0,941.0,1204.0,1901.0,2006.0,1948.0,1921.0,2173.0,2106.0,2052.0,2208.0,2391.0,2407.0,2405.0
Luxembourg,7.0,11.0,13.0,4.0,13.0,9.0,20.0,18.0,23.0,26.0,32.0,31.0,20.0,25.0,21.0,23.0,23.0,39.0,37.0,42.0,60.0,55.0,60.0,61.0,79.0,83.0,73.0,104,107.0,113.0,121.0,171.0,177.0,224.0,249.0,359.0,450.0,536.0,675.0,739.0,948.0,1085.0,1104.0,1213.0,1163.0
Macau,0.01,0.01,0.01,0.01,0.01,1.0,0.01,1.0,0.01,0.01,0.01,0.01,0.01,1.0,2.0,3.0,3.0,4.0,2.0,6.0,5.0,4.0,4.0,7.0,10.0,20.0,17.0,9,10.0,11.0,13.0,23.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,3.0,1.0,0.01
Macedonia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0,0.01,1.0,5.0,51.0,55.0,59.0,77.0,94.0,82.0,98.0,123,132.0,105.0,101.0,117.0,110.0,135.0,184.0,207.0,226.0,242.0,282.0,305.0,320.0,384.0,416.0,466.0,440.0
Madagascar,25.0,14.0,14.0,10.0,10.0,14.0,9.0,10.0,17.0,16.0,15.0,13.0,25.0,29.0,19.0,22.0,32.0,35.0,37.0,25.0,38.0,50.0,43.0,44.0,50.0,75.0,66.0,77,78.0,59.0,105.0,83.0,110.0,143.0,157.0,154.0,158.0,170.0,188.0,196.0,219.0,198.0,241.0,231.0,274.0
Malawi,15.0,20.0,23.0,28.0,20.0,22.0,26.0,22.0,36.0,38.0,41.0,34.0,37.0,33.0,28.0,45.0,41.0,50.0,50.0,32.0,65.0,80.0,74.0,94.0,83.0,77.0,87.0,107,102.0,112.0,115.0,115.0,117.0,135.0,201.0,234.0,235.0,269.0,317.0,346.0,343.0,392.0,438.0,482.0,580.0
Malaysia,158.0,185.0,184.0,213.0,198.0,253.0,261.0,257.0,231.0,288.0,274.0,252.0,244.0,260.0,294.0,321.0,332.0,366.0,383.0,371.0,445.0,534.0,629.0,630.0,629.0,721.0,893.0,855,952.0,1015.0,1187.0,1377.0,1589.0,1871.0,2279.0,2967.0,4482.0,6148.0,8166.0,9178.0,10025.0,11367.0,11564.0,12004.0,11501.0
Maldives,2.0,0.01,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,0.01,1.0,0.01,0.01,0.01,0.01,1.0,1.0,0.01,0.01,1.0,4.0,0.01,3.0,3.0,1,5.0,1.0,3.0,1.0,1.0,4.0,5.0,3.0,5.0,6.0,6.0,9.0,6.0,19.0,18.0,12.0,20.0
Mali,2.0,3.0,5.0,3.0,5.0,5.0,6.0,17.0,15.0,12.0,12.0,20.0,15.0,21.0,16.0,23.0,15.0,15.0,27.0,25.0,23.0,40.0,36.0,39.0,46.0,45.0,28.0,33,51.0,57.0,58.0,70.0,73.0,99.0,83.0,98.0,115.0,132.0,162.0,183.0,156.0,149.0,200.0,197.0,222.0
Malta,14.0,20.0,13.0,17.0,19.0,18.0,19.0,7.0,7.0,6.0,4.0,6.0,3.0,7.0,9.0,6.0,19.0,21.0,18.0,20.0,27.0,29.0,45.0,34.0,48.0,50.0,65.0,37,43.0,57.0,69.0,48.0,75.0,70.0,86.0,127.0,110.0,132.0,146.0,204.0,253.0,262.0,328.0,340.0,383.0
Marshall Islands,0.01,1.0,0.01,0.01,1.0,0.01,0.01,1.0,0.01,1.0,0.01,0.01,1.0,1.0,0.01,1.0,1.0,0.01,1.0,3.0,1.0,1.0,4.0,2.0,4.0,0.01,2.0,1,1.0,2.0,3.0,5.0,1.0,5.0,0.01,1.0,6.0,2.0,3.0,4.0,1.0,5.0,6.0,1.0,5.0
Mauritania,0.01,0.01,1.0,1.0,1.0,0.01,1.0,4.0,1.0,1.0,2.0,0.01,2.0,5.0,4.0,0.01,7.0,2.0,2.0,6.0,7.0,5.0,5.0,7.0,11.0,7.0,12.0,16,14.0,14.0,20.0,13.0,27.0,20.0,21.0,13.0,20.0,16.0,21.0,25.0,26.0,29.0,23.0,35.0,31.0
Mauritius,7.0,5.0,4.0,7.0,7.0,7.0,9.0,10.0,10.0,7.0,5.0,5.0,4.0,3.0,5.0,6.0,5.0,20.0,11.0,12.0,14.0,19.0,16.0,20.0,14.0,30.0,36.0,40,45.0,56.0,36.0,46.0,50.0,55.0,42.0,51.0,64.0,85.0,73.0,97.0,106.0,119.0,127.0,136.0,154.0
Mexico,493.0,604.0,555.0,635.0,689.0,752.0,754.0,852.0,912.0,1078.0,1099.0,1074.0,1189.0,1256.0,1394.0,1344.0,1506.0,1611.0,1694.0,1981.0,2343.0,2506.0,3074.0,3419.0,3806.0,4331.0,4674.0,4877,5283.0,5538.0,6202.0,6724.0,7144.0,7291.0,8287.0,9044.0,9333.0,9681.0,10537.0,11374.0,12143.0,12780.0,13708.0,14726.0,15432.0
Moldova ,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,15.0,32.0,72.0,215.0,185.0,210.0,196.0,190.0,174.0,184.0,180,157.0,163.0,201.0,165.0,213.0,223.0,216.0,229.0,264.0,231.0,263.0,248.0,268.0,275.0,245.0,251.0,238.0
Monaco,7.0,15.0,12.0,14.0,15.0,14.0,12.0,18.0,15.0,16.0,24.0,16.0,24.0,22.0,30.0,24.0,18.0,23.0,24.0,25.0,22.0,28.0,29.0,43.0,29.0,44.0,52.0,33,45.0,42.0,52.0,62.0,62.0,58.0,56.0,58.0,82.0,71.0,85.0,74.0,83.0,87.0,114.0,119.0,152.0
Mongolia,7.0,6.0,10.0,5.0,15.0,19.0,13.0,22.0,19.0,21.0,18.0,16.0,32.0,27.0,15.0,27.0,22.0,18.0,36.0,27.0,30.0,22.0,19.0,40.0,46.0,30.0,40.0,42,44.0,47.0,61.0,66.0,69.0,71.0,100.0,129.0,169.0,172.0,149.0,176.0,226.0,218.0,241.0,258.0,269.0
Morocco,24.0,32.0,28.0,46.0,46.0,68.0,110.0,117.0,106.0,113.0,104.0,134.0,145.0,148.0,170.0,240.0,234.0,234.0,354.0,394.0,393.0,429.0,581.0,643.0,754.0,883.0,992.0,1055,1097.0,1096.0,1009.0,999.0,1001.0,1015.0,1090.0,1229.0,1269.0,1372.0,1509.0,1638.0,1765.0,1734.0,1822.0,2144.0,2204.0
Mozambique,11.0,13.0,8.0,1.0,5.0,5.0,6.0,6.0,7.0,9.0,9.0,7.0,15.0,11.0,14.0,14.0,10.0,12.0,16.0,15.0,21.0,18.0,30.0,19.0,25.0,30.0,33.0,28,45.0,30.0,33.0,45.0,56.0,66.0,82.0,90.0,109.0,114.0,176.0,156.0,158.0,191.0,258.0,297.0,323.0
Namibia,0.01,0.01,1.0,0.01,5.0,4.0,9.0,6.0,8.0,6.0,9.0,16.0,19.0,10.0,8.0,22.0,20.0,31.0,21.0,32.0,22.0,36.0,29.0,34.0,32.0,46.0,37.0,28,59.0,45.0,51.0,45.0,84.0,76.0,66.0,68.0,87.0,63.0,95.0,119.0,140.0,169.0,189.0,196.0,191.0
Nepal,2.0,10.0,8.0,14.0,6.0,18.0,7.0,21.0,25.0,18.0,36.0,35.0,25.0,34.0,33.0,34.0,51.0,45.0,47.0,45.0,57.0,58.0,67.0,66.0,85.0,91.0,102.0,112,129.0,132.0,148.0,161.0,170.0,212.0,228.0,261.0,303.0,363.0,375.0,411.0,523.0,566.0,624.0,673.0,838.0
Netherlands,3860.0,4093.0,4161.0,4587.0,5509.0,5890.0,6364.0,6659.0,7314.0,7919.0,8817.0,9343.0,9865.0,10180.0,10716.0,11671.0,12287.0,13096.0,13474.0,14717.0,15611.0,16460.0,17265.0,18172.0,18513.0,18947.0,18890.0,19405,19435.0,20351.0,21247.0,22332.0,24080.0,25069.0,25962.0,27709.0,30051.0,32253.0,33939.0,36607.0,38493.0,39148.0,40064.0,41726.0,41197.0
Netherlands-Antilles,4.0,4.0,1.0,2.0,5.0,6.0,4.0,6.0,6.0,3.0,5.0,6.0,6.0,0.01,7.0,1.0,2.0,3.0,4.0,8.0,18.0,8.0,20.0,10.0,22.0,10.0,14.0,16,11.0,22.0,18.0,24.0,34.0,38.0,20.0,33.0,27.0,24.0,23.0,21.0,35.0,20.0,25.0,26.0,14.0
New Zealand,1358.0,1399.0,1613.0,1660.0,2049.0,2262.0,2187.0,2248.0,2257.0,2381.0,2417.0,2581.0,2505.0,2500.0,2635.0,2690.0,2660.0,2860.0,2783.0,3002.0,3091.0,3420.0,3624.0,3831.0,4021.0,4231.0,4451.0,4397,4427.0,4472.0,4640.0,4962.0,5454.0,5742.0,6111.0,6655.0,6812.0,7667.0,8266.0,8621.0,9008.0,9242.0,9709.0,9995.0,10194.0
New-Caledonia,13.0,12.0,14.0,13.0,19.0,22.0,19.0,19.0,31.0,26.0,22.0,31.0,41.0,35.0,33.0,35.0,39.0,28.0,47.0,50.0,49.0,62.0,51.0,72.0,54.0,74.0,55.0,73,61.0,43.0,65.0,64.0,90.0,127.0,125.0,127.0,154.0,168.0,103.0,135.0,140.0,169.0,195.0,194.0,169.0
Nicaragua,5.0,4.0,6.0,4.0,5.0,2.0,2.0,4.0,5.0,4.0,5.0,3.0,9.0,13.0,7.0,18.0,5.0,11.0,19.0,14.0,21.0,13.0,14.0,22.0,32.0,22.0,21.0,29,21.0,19.0,27.0,31.0,44.0,60.0,43.0,64.0,57.0,66.0,70.0,83.0,66.0,67.0,72.0,102.0,109.0
Niger,0.01,2.0,1.0,2.0,3.0,8.0,6.0,10.0,6.0,13.0,12.0,13.0,13.0,18.0,22.0,23.0,26.0,44.0,39.0,48.0,57.0,52.0,48.0,47.0,70.0,62.0,44.0,42,41.0,42.0,47.0,30.0,70.0,67.0,71.0,84.0,79.0,79.0,94.0,88.0,88.0,126.0,137.0,132.0,112.0
Nigeria,405.0,471.0,571.0,695.0,903.0,1029.0,1076.0,1022.0,1133.0,1198.0,1185.0,1258.0,1280.0,1316.0,1283.0,1275.0,1204.0,1168.0,1080.0,988.0,919.0,792.0,771.0,783.0,811.0,762.0,800.0,795,688.0,767.0,765.0,883.0,1059.0,1203.0,1683.0,2157.0,2263.0,2490.0,2347.0,2036.0,1984.0,2384.0,2456.0,2867.0,3101.0
North Korea,0.01,0.01,0.01,2.0,0.01,2.0,0.01,0.01,0.01,1.0,1.0,3.0,2.0,7.0,10.0,13.0,7.0,3.0,5.0,4.0,1.0,1.0,1.0,0.01,1.0,3.0,4.0,1,0.01,4.0,6.0,15.0,11.0,10.0,21.0,36.0,29.0,34.0,19.0,38.0,22.0,25.0,77.0,91.0,92.0
